parent;unspsc;name;id_name
Vegetable seeds and seedlings;10151509;Endive seeds or seedlings;Benih atau bibit endive
Vegetable seeds and seedlings;10151510;Garlic seeds or seedlings;Biji bawang putih atau bibit
Vegetable seeds and seedlings;10151511;Leek seeds or seedlings;Biji daun bawang atau bibit
Vegetable seeds and seedlings;10151512;Lettuce seeds or seedlings;Biji selada atau bibit
Vegetable seeds and seedlings;10151513;Corn seeds or seedlings;Benih jagung atau bibit
Vegetable seeds and seedlings;10151514;Melon seeds or seedlings;Biji atau bibit melon
Vegetable seeds and seedlings;10151515;Onion seeds or seedlings;Biji atau bibit bawang
Legume seeds and seedlings;10152302;Soya seeds or seedlings;Biji atau bibit kedelai
Vegetable seeds and seedlings;10151517;Spinach seeds or seedlings;Biji bayam atau bibit
Vegetable seeds and seedlings;10151518;Tomato seeds or seedlings;Biji atau bibit tomat
Tuber seeds and seedlings;10152402;Turnip seeds or seedlings;Biji lobak atau bibit
Vegetable seeds and seedlings;10151520;Chard seeds or seedlings;Biji atau bibit chard
Seeds and bulbs and seedlings and cuttings;10151600;Cereal seeds;Biji sereal
Cereal seeds;10151601;Wheat seeds;Biji gandum
Cereal seeds;10151602;Colza seeds;Biji colza
Cereal seeds;10151603;Barley seeds;Biji jelai
Cereal seeds;10151604;Millet seeds;Biji millet
Cereal seeds;10151605;Oat seeds;Biji gandum
Cereal seeds;10151606;Sesame seeds;Biji wijen
Cereal seeds;10151607;Linseed seeds;Biji rami
Cereal seeds;10151608;Castor oil seeds;Biji minyak jarak
Cereal seeds;10151609;Maize seeds;Benih jagung
Cereal seeds;10151610;Rye seeds;Biji gandum hitam
Cereal seeds;10151611;Sorghum seeds;Biji sorgum
Seeds and bulbs and seedlings and cuttings;10151700;Grass and forage seeds and seedlings;Benih dan bibit rumput dan hijauan
Cereal seeds;10151614;Rice seeds or seedlings;Benih atau bibit padi
Seeds and bulbs and seedlings and cuttings;10151800;Spice crop seeds and seedlings;Benih tanaman rempah-rempah dan bibit
Seeds and bulbs and seedlings and cuttings;10151900;Flower seeds and bulbs and seedlings and cuttings;Biji bunga dan umbi dan bibit dan stek
Seeds and bulbs and seedlings and cuttings;10152000;Tree and shrub seeds and cuttings;Benih dan stek pohon dan semak
Tree and shrub seeds and cuttings;10152001;Fruit tree seeds or cuttings;Biji atau stek pohon buah-buahan
Tree and shrub seeds and cuttings;10152003;Nut tree seeds or cuttings;Biji atau stek pohon kacang
Live Plant and Animal Material and Accessories and Supplies;10160000;Floriculture and silviculture products;Produk florikultura dan silvikultur
Floriculture and silviculture products;10161500;Trees and shrubs;Pohon dan semak
Live Plant and Animal Material and Accessories and Supplies;10170000;Fertilizers and plant nutrients and herbicides;Pupuk dan nutrisi tanaman dan herbisida
Fertilizers and plant nutrients and herbicides;10171500;Organic fertilizers and plant nutrients;Pupuk organik dan nutrisi tanaman
Organic fertilizers and plant nutrients;10171501;Manure or guano;Pupuk kandang atau guano
Organic fertilizers and plant nutrients;10171502;Plant hormones;Hormon tumbuhan
Fertilizers and plant nutrients and herbicides;10171600;Chemical fertilizers and plant nutrients;Pupuk kimia dan nutrisi tanaman
Chemical fertilizers and plant nutrients;10171601;Ammonium nitrate fertilizer;Pupuk amonium nitrat
Chemical fertilizers and plant nutrients;10171602;Potassic fertilizer;Pupuk potassic
Chemical fertilizers and plant nutrients;10171603;Phosphatic fertilizer;Pupuk fosfat
Chemical fertilizers and plant nutrients;10171604;Sulphuric fertilizer;Pupuk belerang
Chemical fertilizers and plant nutrients;10171605;Nitrogen Phosphorous Potassium Mixtures NPK;Nitrogen Fosfor Campuran Kalium NPK
Live Plant and Animal Material and Accessories and Supplies;10190000;Pest control products;Produk pengendalian hama
Pest control products;10191500;Pesticides or pest repellents;Pestisida atau pengusir hama
Pesticides or pest repellents;10191509;Insecticides;Insektisida
Pesticides or pest repellents;10191506;Rodenticides;Hewan pengerat
Pest control products;10191700;Pest control devices;Perangkat pengendalian hama
Raw Materials, Chemicals, Paper, Fuel;11000000;Mineral and Textile and Inedible Plant and Animal Materials;Mineral dan Tekstil dan Bahan Tumbuhan dan Hewan yang Tidak Dapat Dimakan
Mineral and Textile and Inedible Plant and Animal Materials;11100000;Minerals and ores and metals;Mineral dan bijih dan logam
Minerals and ores and metals;11101500;Minerals;Mineral
Minerals;11101501;Mica;Mika
Minerals;11101506;Chalk;Kapur
Minerals and ores and metals;11101600;Ores;Bijih
Minerals and ores and metals;11101700;Base Metals;Logam Dasar
Minerals and ores and metals;11101800;Precious metals;Logam mulia
Mineral and Textile and Inedible Plant and Animal Materials;11110000;Earth and stone;Tanah dan batu
Earth and stone;11111500;Dirt and soil;Kotoran dan tanah
Dirt and soil;11111501;Soil;Tanah
Earth and stone;11111600;Stone;Batu
Stone;11111601;Gypsum;Gipsum
Stone;11111602;Travertine;Travertine
Stone;11111603;Ecaussine or alabaster;Ecaussine atau alabaster
Stone;11111604;Granite;Granit
Stone;11111605;Marble;Marmer
Stone;11111606;Slate;Batu tulis
Stone;11111607;Sandstone;Batu pasir
Stone;11111608;Limestone;Batu kapur
Earth and stone;11111700;Sand;Pasir
Sand;11111701;Silica sand;Pasir silika
Earth and stone;11111800;Clays;Tanah liat
Clays;11111801;Terra cotta;Terakota
Clays;11111802;Fireclay;Tanah liat api
Clays;11111803;Kaolin or other kaolinic clays;Kaolin atau tanah liat kaolinik lainnya
Clays;11111804;Bentonite;Bentonit
Clays;11111805;Andalusite;Andalusite
Clays;11111806;Mullite;Mullite
Clays;11111807;Chamotte;Chamotte
Clays;11111808;Common clay;Tanah liat biasa
Clays;11111809;Ball clay;Tanah liat bola
Clays;11111810;Fullers earth;Bumi yang lebih penuh
Mineral and Textile and Inedible Plant and Animal Materials;11120000;Non edible plant and forestry products;Produk tanaman dan kehutanan yang tidak dapat dimakan
Non edible plant and forestry products;11121500;Sap;Getah
Sap;11121502;Rosin;Rosin
Non edible plant and forestry products;11121600;Wood;Kayu
Wood;11121603;Logs;Log
Wood;11121604;Soft timber;Kayu lunak
Wood;11121605;Rattan;Rotan
Wood;11121606;Cork;Gabus
Wood;11121607;Wood pulp;Pulp kayu
Wood;11121608;Bamboo;Bambu
Non edible plant and forestry products;11121700;Forestry byproducts;Produk sampingan kehutanan
Non edible plant and forestry products;11121800;Plant fibers;Serat tumbuhan
Mineral and Textile and Inedible Plant and Animal Materials;11130000;Non edible animal products;Produk hewani yang tidak dapat dimakan
Non edible animal products;11131500;Animal hides and skins and animal textile materials;Kulit dan kulit hewan dan bahan tekstil hewan
Animal hides and skins and animal textile materials;11131501;Feathers;Bulu
Non edible animal products;11131600;Other animal products;Produk hewani lainnya
Other animal products;11131602;Semen;Air mani
Other animal products;11131607;Embryos;Embrio
Mineral and Textile and Inedible Plant and Animal Materials;11140000;Scrap and waste materials;Bahan bekas dan limbah
Scrap and waste materials;11141600;Non metallic waste and scrap;Limbah dan memo non-logam
Scrap and waste materials;11141700;Food and tobacco waste and scrap;Limbah dan bekas makanan dan tembakau
Mineral and Textile and Inedible Plant and Animal Materials;11150000;Fibers and threads and yarns;Serat dan benang dan benang
Fibers and threads and yarns;11151500;Fibers;Serat
Fibers and threads and yarns;11151600;Threads;Benang
Fibers and threads and yarns;11151700;Yarns;Benang
Mineral and Textile and Inedible Plant and Animal Materials;11160000;Fabrics and leather materials;Kain dan bahan kulit
Fabrics and leather materials;11161500;Silk fabrics;Kain sutra
Fabrics and leather materials;11161600;Wool fabrics;Kain wol
Fabrics and leather materials;11161700;Cotton fabrics;Kain katun
Fabrics and leather materials;11161800;Synthetic fabrics;Kain sintetis
Fabrics and leather materials;11162000;Fabrics of vegetable material other than cotton;Kain bahan nabati selain katun
Fabrics and leather materials;11162100;Specialty fabrics or cloth;Kain atau kain khusus
Specialty fabrics or cloth;11162101;Cheese cloth or fabric;Kain atau kain keju
Specialty fabrics or cloth;11162102;Bismalemide fabric or cloth;Kain atau kain bismalemide
Specialty fabrics or cloth;11162104;Graphite fabric or cloth;Kain atau kain grafit
Specialty fabrics or cloth;11162105;Glass fabric or cloth;Kain kaca atau kain
Specialty fabrics or cloth;11162107;Resin impregnated fabric or cloth;Kain atau kain yang diresapi resin
Specialty fabrics or cloth;11162108;Wire mesh fabric or cloth;Kain atau kain wire mesh
Specialty fabrics or cloth;11162109;Lace;Renda
Specialty fabrics or cloth;11162110;Netting;Jaring
Specialty fabrics or cloth;11162111;Mesh;Jaring
Specialty fabrics or cloth;11162112;Coated fabrics;Kain berlapis
Specialty fabrics or cloth;11162113;Upholstery fabrics;Kain pelapis
Raw Materials, Chemicals, Paper, Fuel;12000000;Chemicals including Bio Chemicals and Gas Materials;Bahan Kimia termasuk Bio Kimia dan Bahan Gas
Elements and gases;12141800;Alkali metals;Logam alkali
Isotopes;12142201;Deuterated solvents;Pelarut deuterasi
Isotopes;12142202;Heavy water;Air berat
Isotopes;12142203;Alpha sources;Sumber alfa
Isotopes;12142204;Beta sources;Sumber beta
Isotopes;12142205;Cobalt sources;Sumber kobalt
Isotopes;12142206;Gamma sources;Sumber gamma
Isotopes;12142207;Radioisotope sources;Sumber radioisotop
Isotopes;12142208;Calibration sources;Sumber kalibrasi
Chemicals including Bio Chemicals and Gas Materials;12130000;Explosive materials;Bahan peledak
Explosive materials;12131500;Explosives;Bahan peledak
Explosives;12131501;Dynamite;Dinamit
Explosives;12131502;Explosive cartridges;Kartrid peledak
Explosives;12131503;Propellant explosives;Bahan peledak propelan
Explosives;12131504;Explosive charges;Muatan peledak
Explosives;12131505;Plastic explosives;Bahan peledak plastik
Explosives;12131506;Aluminized explosives;Bahan peledak aluminisasi
Explosives;12131507;Ammonium nitrate explosives;Bahan peledak amonium nitrat
Explosives;12131508;Nitroglycerin powder explosives;Bahan peledak bubuk nitrogliserin
Explosive materials;12131600;Pyrotechnics;Kembang api
Explosive materials;12131700;Igniters;Penyala
Igniters;12131702;Detonators;Detonator
Igniters;12131703;Explosives fuses;Sekering bahan peledak
Igniters;12131704;Explosive initiators;Inisiator eksplosif
Igniters;12131705;Explosive primers;Primer peledak
Explosive materials;12131800;Propellants;Propelan
Raw Materials, Chemicals, Paper, Fuel;13000000;Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials;Resin dan Rosin dan Karet dan Busa dan Film dan Bahan Elastomer
Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials;13100000;Rubber and elastomers;Karet dan elastomer
Rubber and elastomers;13101500;Natural rubber;Karet alam
Rubber and elastomers;13101600;Processed and synthetic rubber;Karet olahan dan sintetis
Rubber and elastomers;13101700;Elastomers;Elastomer
Rubber and elastomers;13101900;Thermoset plastics;Plastik termoset
Rubber and elastomers;13102000;Thermoplastic plastics;Plastik termoplastik
Resins and rosins and other resin derived materials;13111000;Resins;Resin
Plastic films;13111202;Polyurethane films;Film poliuretan
Raw Materials, Chemicals, Paper, Fuel;14000000;Paper Materials and Products;Bahan dan Produk Kertas
Paper Materials and Products;14100000;Paper materials;Bahan kertas
Paper materials;14101500;Raw materials;Bahan baku
Raw materials;14101501;Paper pulp;Bubur kertas
Paper Materials and Products;14120000;Industrial use papers;Kertas penggunaan industri
Industrial use papers;14121500;Paperboard and packaging papers;Kertas karton dan kertas kemasan
Newsprint and offset papers;14121901;Standard newsprint;Kertas koran standar
Coated papers;14121807;Butcher papers;Makalah tukang daging
Paper Materials and Products;14110000;Paper products;Produk kertas
Paper products;14111500;Printing and writing paper;Kertas cetak dan tulis
Printing and writing paper;14111501;Onion skin paper;Kertas kulit bawang bombay
Printing and writing paper;14111502;Vellum paper;Kertas vellum
Printing and writing paper;14111503;Parchment paper;Kertas perkamen
Printing and writing paper;14111504;Tractor feed paper;Kertas umpan traktor
Printing and writing paper;14111505;Mimeograph paper;Kertas mimeograf
Printing and writing paper;14111506;Computer printout paper;Kertas cetak komputer
Printing and writing paper;14111507;Printer or copier paper;Kertas printer atau mesin fotokopi
Printing and writing paper;14111508;Facsimile paper;Kertas faksimili
Printing and writing paper;14111509;Stationery;Alat tulis
Printing and writing paper;14111510;Plotter paper;Kertas plotter
Printing and writing paper;14111511;Writing paper;Kertas tulis
Printing and writing paper;14111512;Graph paper;Kertas grafik
Printing and writing paper;14111513;Ledger paper;Kertas buku besar
Printing and writing paper;14111514;Paper pads or notebooks;Bantalan kertas atau buku catatan
Printing and writing paper;14111515;Calculator or cash register paper;Kalkulator atau kertas mesin kasir
Printing and writing paper;14111516;Notebook filler paper;Kertas pengisi buku catatan
Business use papers;14111806;Business forms or questionnaires;Formulir bisnis atau kuesioner
Paper products;14111600;Novelty paper;Kertas baru
Novelty paper;14111601;Gift wrapping paper or bags or boxes;Kertas kado atau tas atau kotak
Novelty paper;14111604;Business cards;Kartu nama
Novelty paper;14111605;Greeting or note or post cards;Ucapan atau catatan atau kartu pos
Paper products;14111700;Personal paper products;Produk kertas pribadi
Personal paper products;14111701;Facial tissues;Jaringan wajah
Personal paper products;14111702;Toilet seat covers;Sarung dudukan toilet
Personal paper products;14111703;Paper towels;Handuk kertas
Personal paper products;14111704;Toilet tissue;Tisu toilet
Raw Materials, Chemicals, Paper, Fuel;15000000;Fuels and Fuel Additives and Lubricants and Anti corrosive Materials;Bahan Bakar dan Bahan Bakar Aditif dan Pelumas dan Bahan Anti Korosif
Fuels and Fuel Additives and Lubricants and Anti corrosive Materials;15100000;Fuels;Bahan bakar
Fuels;15101500;Petroleum and distillates;Minyak bumi dan sulingan
Fuels;15101700;Fuel Oils;Bahan bakar minyak
Petroleum and distillates;15101502;Kerosene;Minyak tanah
Petroleum and distillates;15101503;Naphtha;Nafta
Petroleum and distillates;15101504;Aviation fuel;Bahan bakar penerbangan
Petroleum and distillates;15101505;Diesel fuel;Bahan bakar diesel
Petroleum and distillates;15101506;Gasoline or Petrol;Bensin atau Bensin
Petroleum and distillates;15101507;Benzene;Benzena
Petroleum and distillates;15101508;Crude oil;Minyak mentah
Petroleum and distillates;15101509;Marine fuel;Bahan bakar laut
Fuels;15101600;Solid and gel fuels;Bahan bakar padat dan gel
Fuels and Fuel Additives and Lubricants and Anti corrosive Materials;15110000;Gaseous fuels and additives;Bahan bakar gas dan aditif
Gaseous fuels and additives;15111500;Gaseous fuels;Bahan bakar gas
Gaseous fuels;15111501;Propane;Propana
Gaseous fuels;15111502;Methane;Metana
Gaseous fuels;15111503;Propylene;Propilen
Gaseous fuels;15111504;Ethylene;Etilena
Gaseous fuels;15111505;Butane;Butana
Fuels and Fuel Additives and Lubricants and Anti corrosive Materials;15120000;Lubricants and oils and greases and anti corrosives;Pelumas dan minyak dan gemuk dan anti korosif
Lubricants and oils and greases and anti corrosives;15121500;Lubricating preparations;Persiapan pelumas
Lubricating preparations;15121501;Engine oil;Oli mesin
Lubricating preparations;15121504;Hydraulic oil;Oli hidrolik
Lubricating preparations;15121508;Transmission oil;Oli transmisi
Waxes and oils;12181500;Waxes;Lilin
Lubricants and oils and greases and anti corrosives;15121800;Anti corrosives;Anti korosif
Fuels and Fuel Additives and Lubricants and Anti corrosive Materials;15130000;Fuel for nuclear reactors;Bahan bakar untuk reaktor nuklir
Fuel for nuclear reactors;15131500;Nuclear fuel;Bahan bakar nuklir
Fission fuel assemblies;15131601;Nuclear fuel rod;Batang bahan bakar nuklir
Nuclear fuel;15131502;Depleted uranium;Uranium habis
Nuclear fuel;15131503;Enriched uranium;Uranium yang diperkaya
Nuclear fuel;15131504;Iridium;Iridium
Nuclear fuel;15131505;Enriched plutonium;Plutonium yang diperkaya
Nuclear fuel;15131506;Depleted plutonium;Plutonium yang habis
Industrial Equipment & Tools;20000000;Mining and Well Drilling Machinery and Accessories;Mesin dan Aksesoris Pertambangan dan Pengeboran Sumur
Mining and Well Drilling Machinery and Accessories;20100000;Mining and quarrying machinery and equipment;Mesin dan peralatan pertambangan dan penggalian
Mining and quarrying machinery and equipment;20101500;Cutting equipment;Peralatan pemotongan
Cutting equipment;20101501;Continuous mining equipment;Peralatan penambangan berkelanjutan
Cutting equipment;20101502;Longwall shears;Gunting dinding panjang
Mining and quarrying machinery and equipment;20101600;Screens and feeding equipment;Layar dan peralatan makan
Mining and quarrying machinery and equipment;20101700;Crushers and breakers and grinders;Penghancur dan pemutus dan penggiling
Crushers and breakers and grinders;20101709;Ball mills;Pabrik bola
Mining and Well Drilling Machinery and Accessories;20110000;Well drilling and operation equipment;Peralatan pengeboran dan operasi sumur
Well drilling and operation equipment;20111500;Drilling and exploration equipment;Peralatan pengeboran dan eksplorasi
Drilling and exploration equipment;20111504;Water well drilling equipment;Peralatan pengeboran sumur air
Drilling and exploration equipment;20111505;Uranium exploration equipment;Peralatan eksplorasi uranium
Well drilling and operation equipment;20111600;Drilling and operation machinery;Mesin pengeboran dan operasi
Mining and quarrying machinery and equipment;20102100;Rock drills;Bor batu
Well drilling and operation equipment;20111700;Drilling and operation accessories;Aksesori pengeboran dan operasi
Industrial Equipment & Tools;21000000;Farming and Fishing and Forestry and Wildlife Machinery and Accessories;Pertanian dan Perikanan dan Kehutanan dan Mesin dan Aksesoris Satwa Liar
Farming and Fishing and Forestry and Wildlife Machinery and Accessories;21100000;Agricultural and forestry and landscape machinery and equipment;Mesin dan peralatan pertanian dan kehutanan dan lanskap
Agricultural and forestry and landscape machinery and equipment;21101500;Agricultural machinery for soil preparation;Mesin pertanian untuk persiapan tanah
Agricultural machinery for soil preparation;21101501;Ploughs;Bajak
Agricultural machinery for soil preparation;21101502;Harrows;Masalah
Agricultural machinery for soil preparation;21101503;Cultivators;Pembudidaya
Agricultural machinery for soil preparation;21101504;Weeders;Penyiangan
Agricultural machinery for soil preparation;21101505;Hoeing machines;Mesin cangkul
Agricultural machinery for soil preparation;21101506;Graders or land levelers;Grader atau ground leveler
Agricultural machinery for soil preparation;21101507;Agricultural rollers;Rol pertanian
Agricultural machinery for soil preparation;21101508;Rollers for lawn or sports grounds;Rol untuk rumput atau lapangan olahraga
Agricultural machinery for soil preparation;21101509;Trencher drainage machine;Mesin drainase parit
Irrigation systems and equipment;21102501;Irrigation trickles;Tetesan irigasi
Irrigation systems and equipment;21102502;Irrigation overheads;Overhead irigasi
Agricultural and forestry and landscape machinery and equipment;21101600;Agricultural machinery for planting and seeding;Mesin pertanian untuk penanaman dan penyemaian
Agricultural machinery for planting and seeding;21101601;Planters;Penanam
Agricultural and forestry and landscape machinery and equipment;21101700;Agricultural machinery for harvesting;Mesin pertanian untuk panen
Agricultural machinery for harvesting;21101701;Mowers;Mesin pemotong rumput
Agricultural machinery for harvesting;21101703;Harvesters;Pemanen
Agricultural machinery for harvesting;21101705;Threshing machines;Mesin perontok
Agricultural and forestry and landscape machinery and equipment;21101800;Dispersing and spraying appliances for agriculture;Peralatan penyebaran dan penyemprotan untuk pertanian
Dispersing and spraying appliances for agriculture;21101801;Sprayers;Penyemprot
Dispersing and spraying appliances for agriculture;21101802;Dusters;Kemoceng
Dispersing and spraying appliances for agriculture;21101803;Water sprinklers;Penyiram air
Dispersing and spraying appliances for agriculture;21101804;Fertilizer spreaders or distributors;Penyebar atau distributor pupuk
Dispersing and spraying appliances for agriculture;21101805;Fog or mist generators;Generator kabut atau kabut
Dispersing and spraying appliances for agriculture;21101806;Composter;Komposter
Dispersing and spraying appliances for agriculture;21101807;Pollination equipment or supplies;Peralatan atau persediaan penyerbukan
Dispersing and spraying appliances for agriculture;21101808;Frost protection equipment;Peralatan perlindungan embun beku
Agricultural and forestry and landscape machinery and equipment;21101900;Poultry and livestock equipment;Peralatan unggas dan ternak
Poultry and livestock equipment;21101901;Milking machines;Mesin pemerah susu
Poultry and livestock equipment;21101903;Incubators or brooders for poultry;Inkubator atau brooder untuk unggas
Poultry and livestock equipment;21101905;Livestock identification equipment;Peralatan identifikasi ternak
Poultry and livestock equipment;21101906;Egg inspection or collecting equipment;Peralatan inspeksi atau pengumpulan telur
Agricultural and forestry and landscape machinery and equipment;21102000;Agricultural machinery for cleaning and sorting and grading;Mesin pertanian untuk membersihkan dan menyortir dan menilai
Agricultural machinery for cleaning and sorting and grading;21102001;Cleaning machines for seed or grain or dried leguminous vegetables;Mesin pembersih untuk biji-bijian atau biji-bijian atau sayuran kacang-kacangan kering
Agricultural machinery for cleaning and sorting and grading;21102002;Sorting machines for seed or grain or dried leguminous vegetables;Mesin penyortir untuk biji-bijian atau biji-bijian atau sayuran kacang-kacangan kering
Agricultural and forestry and landscape machinery and equipment;21102100;Agricultural processing machinery and equipment;Mesin dan peralatan pengolahan pertanian
Agricultural and forestry and landscape machinery and equipment;21102200;Forestry machinery and equipment;Mesin dan peralatan kehutanan
Agricultural and forestry and landscape machinery and equipment;21102300;Greenhouse equipment;Peralatan rumah kaca
Agricultural and forestry and landscape machinery and equipment;21102400;Insect equipment;Peralatan serangga
Insect equipment;21102401;Beekeeping equipment;Peralatan peternakan lebah
Farming and Fishing and Forestry and Wildlife Machinery and Accessories;21110000;Fishing and aquaculture equipment;Peralatan memancing dan akuakultur
Fishing and aquaculture equipment;21111500;Commercial fishing equipment;Peralatan memancing komersial
Commercial fishing equipment;21111501;Commercial fish hooks;Kail ikan komersial
Commercial fishing equipment;21111504;Commercial fishing nets;Jaring ikan komersial
Fishing and aquaculture equipment;21111600;Aquaculture equipment;Peralatan akuakultur
Construction, Transportation & Facility Equipment & Supplies;22000000;Building and Construction Machinery and Accessories;Mesin dan Aksesoris Bangunan dan Konstruksi
Building and Construction Machinery and Accessories;22100000;Heavy construction machinery and equipment;Mesin dan peralatan konstruksi berat
Heavy construction machinery and equipment;22101500;Earth moving machinery;Mesin pemindah tanah
Earth moving machinery;22101501;Front end loaders;Pemuat ujung depan
Earth moving machinery;22101502;Graders;Penilaian
Earth moving machinery;22101504;Pile drivers;Driver tiang pancang
Earth moving machinery;22101505;Rollers;Rol
Earth moving machinery;22101507;Tampers;Tamper
Earth moving machinery;22101508;Trenching machines;Mesin penggalangan parit
Earth moving machinery;22101509;Backhoes;Backhoe
Earth moving machinery;22101511;Compactors;Pemadat
Earth moving machinery;22101513;Draglines;Seret
Earth moving machinery;22101514;Dredgers;Kapal keruk
Earth moving machinery;22101516;Ditchers;Parit
Heavy construction machinery and equipment;22101600;Paving equipment;Peralatan pengaspalan
Heavy construction machinery and equipment;22101700;Heavy equipment components;Komponen alat berat
Industrial Equipment & Tools;23000000;Industrial Manufacturing and Processing Machinery and Accessories;Manufaktur dan Pemrosesan Industri Mesin dan Aksesoris
Industrial Manufacturing and Processing Machinery and Accessories;23100000;Raw materials processing machinery;Mesin pengolah bahan baku
Raw materials processing machinery;23101500;Machinery for working wood and stone and ceramic and the like;Mesin untuk mengerjakan kayu dan batu dan keramik dan sejenisnya
Machinery for working wood and stone and ceramic and the like;23101501;Coping machines;Mesin koping
Machinery for working wood and stone and ceramic and the like;23101513;Milling machines;Mesin penggilingan
Industrial Manufacturing and Processing Machinery and Accessories;23110000;Petroleum processing machinery;Mesin pengolah minyak bumi
Industrial Manufacturing and Processing Machinery and Accessories;23120000;Textile and fabric machinery and accessories;Mesin dan aksesori tekstil dan kain
Textile and fabric machinery and accessories;23121500;Textile processing machinery and accessories;Mesin dan aksesori pengolah tekstil
Textile processing machinery and accessories;23121501;Embroidery making machines;Mesin pembuat bordir
Textile and fabric machinery and accessories;23121600;Textile working machinery and equipment and accessories;Mesin dan peralatan dan aksesori pengerjaan tekstil
Textile working machinery and equipment and accessories;23121614;Sewing machines;Mesin jahit
Industrial Manufacturing and Processing Machinery and Accessories;23130000;Lapidary machinery and equipment;Mesin dan peralatan lapidary
